# time = 1000.0
# FINE UNIFORM Grid points = 361
# Pressure (Pa) = 101325
#         1_posUnif        2_uvel_mean        3_uvel_rmsf
 -1.0000000000E+00   0.0000000000E+00   0.0000000000E+00
 -9.9444444444E-01   9.9556013654E-01   2.6871172374E-01
 -9.8888888889E-01   1.9787611557E+00   5.3470233059E-01
 -9.8333333333E-01   2.9446717002E+00   7.9225612570E-01
 -9.7777777778E-01   3.8824063045E+00   1.0273142256E+00
 -9.7222222222E-01   4.7804066545E+00   1.2290406994E+00
 -9.6666666667E-01   5.6296665579E+00   1.3906483492E+00
 -9.6111111111E-01   6.4227177835E+00   1.5101765001E+00
 -9.5555555556E-01   7.1547264693E+00   1.5902184620E+00
 -9.5000000000E-01   7.8234581426E+00   1.6368475427E+00
 -9.4444444444E-01   8.4289599891E+00   1.6580602046E+00
 -9.3888888889E-01   8.9728731955E+00   1.6625329288E+00
 -9.3333333333E-01   9.4581342801E+00   1.6588454192E+00
 -9.2777777778E-01   9.8884918318E+00   1.6543718684E+00
 -9.2222222222E-01   1.0268388465E+01   1.6548171923E+00
 -9.1666666667E-01   1.0602744977E+01   1.6636419199E+00
 -9.1111111111E-01   1.0896666882E+01   1.6817141789E+00
 -9.0555555556E-01   1.1155527272E+01   1.7076396230E+00
 -9.0000000000E-01   1.1384541788E+01   1.7388251270E+00
 -8.9444444444E-01   1.1588715020E+01   1.7724269349E+00
 -8.8888888889E-01   1.1772449790E+01   1.8057389225E+00
 -8.8333333333E-01   1.1939554081E+01   1.8367715272E+00
 -8.7777777778E-01   1.2093282042E+01   1.8645941896E+00
 -8.7222222222E-01   1.2236099684E+01   1.8887710066E+00
 -8.6666666667E-01   1.2370014649E+01   1.9093236955E+00
 -8.6111111111E-01   1.2496596956E+01   1.9263716124E+00
 -8.5555555556E-01   1.2617057646E+01   1.9403338161E+00
 -8.5000000000E-01   1.2732327948E+01   1.9516069431E+00
 -8.4444444444E-01   1.2843080770E+01   1.9604241554E+00
 -8.3888888889E-01   1.2949818084E+01   1.9670109359E+00
 -8.3333333333E-01   1.3052961928E+01   1.9714446638E+00
 -8.2777777778E-01   1.3152770728E+01   1.9743431839E+00
 -8.2222222222E-01   1.3249519841E+01   1.9761197699E+00
 -8.1666666667E-01   1.3343336799E+01   1.9770235775E+00
 -8.1111111111E-01   1.3434312460E+01   1.9771867065E+00
