# time = 1000
#  1_posUnif        2_uvel_mean        3_uvel_rmsf
-3.00000E-01  1.82698E+01  1.67470E+00
-2.94444E-01  1.83103E+01  1.67237E+00
-2.88889E-01  1.83506E+01  1.66990E+00
-2.83333E-01  1.83909E+01  1.66727E+00
-2.77778E-01  1.84310E+01  1.66450E+00
-2.72222E-01  1.84710E+01  1.66163E+00
-2.66667E-01  1.85108E+01  1.65867E+00
-2.61111E-01  1.85505E+01  1.65563E+00
-2.55556E-01  1.85899E+01  1.65244E+00
-2.50000E-01  1.86292E+01  1.64913E+00
-2.44444E-01  1.86682E+01  1.64576E+00
-2.38889E-01  1.87069E+01  1.64237E+00
-2.33333E-01  1.87453E+01  1.63901E+00
-2.27778E-01  1.87833E+01  1.63570E+00
-2.22222E-01  1.88210E+01  1.63242E+00
-2.16667E-01  1.88582E+01  1.62917E+00
-2.11111E-01  1.88950E+01  1.62595E+00
-2.05556E-01  1.89313E+01  1.62270E+00
-2.00000E-01  1.89671E+01  1.61943E+00
-1.94444E-01  1.90025E+01  1.61609E+00
-1.88889E-01  1.90373E+01  1.61272E+00
-1.83333E-01  1.90716E+01  1.60932E+00
-1.77778E-01  1.91053E+01  1.60593E+00
-1.72222E-01  1.91384E+01  1.60253E+00
-1.66667E-01  1.91709E+01  1.59913E+00
-1.61111E-01  1.92026E+01  1.59578E+00
-1.55556E-01  1.92337E+01  1.59250E+00
-1.50000E-01  1.92639E+01  1.58931E+00
-1.44444E-01  1.92934E+01  1.58619E+00
-1.38889E-01  1.93220E+01  1.58312E+00
-1.33333E-01  1.93498E+01  1.58006E+00
-1.27778E-01  1.93767E+01  1.57699E+00
-1.22222E-01  1.94027E+01  1.57394E+00
-1.16667E-01  1.94278E+01  1.57096E+00
-1.11111E-01  1.94519E+01  1.56801E+00
-1.05556E-01  1.94751E+01  1.56507E+00
-1.00000E-01  1.94973E+01  1.56219E+00
-9.44444E-02  1.95185E+01  1.55937E+00
-8.88889E-02  1.95387E+01  1.55665E+00
-8.33333E-02  1.95578E+01  1.55402E+00
-7.77778E-02  1.95757E+01  1.55147E+00
-7.22222E-02  1.95926E+01  1.54901E+00
-6.66667E-02  1.96084E+01  1.54668E+00
-6.11111E-02  1.96230E+01  1.54447E+00
-5.55556E-02  1.96364E+01  1.54239E+00
-5.00000E-02  1.96487E+01  1.54046E+00
-4.44444E-02  1.96598E+01  1.53873E+00
-3.88889E-02  1.96696E+01  1.53719E+00
-3.33333E-02  1.96783E+01  1.53585E+00
