# time = 1000
# Grid points = 1757
# Pressure (Pa) = 101325
#             1_pos             2_posf             3_uvel             4_vvel             5_wvel
  -9.9937423082e-01  -1.0000000000e+00   2.5588952438e-01   2.1520083296e-02   2.1520083296e-02
  -9.9812269246e-01  -9.9874846164e-01   7.6571822304e-01   6.4759998364e-02   6.4759998364e-02
  -9.9702659340e-01  -9.9749692328e-01   1.2111841789e+00   1.0335078492e-01   1.0335078492e-01
  -9.9608593363e-01  -9.9655626352e-01   1.5931772199e+00   1.3722875390e-01   1.3722875390e-01
  -9.9514480268e-01  -9.9561560375e-01   1.9749382375e+00   1.7208429063e-01   1.7208429063e-01
  -9.9420320053e-01  -9.9467400161e-01   2.3567452164e+00   2.0813882926e-01   2.0813882926e-01
  -9.9326149531e-01  -9.9373239946e-01   2.7385289403e+00   2.4556224390e-01   2.4556224390e-01
  -9.9231968703e-01  -9.9279059117e-01   3.1203198389e+00   2.8451266051e-01   2.8451266051e-01
  -9.9137726116e-01  -9.9184878289e-01   3.5021856964e+00   3.2513005473e-01   3.2513005473e-01
  -9.9043421771e-01  -9.9090573944e-01   3.8839604347e+00   3.6750836349e-01   3.6750836349e-01
  -9.8948890761e-01  -9.8996269599e-01   4.2659481487e+00   4.1176880862e-01   4.1176880862e-01
  -9.8854133085e-01  -9.8901511923e-01   4.6477108239e+00   4.5793362144e-01   4.5793362144e-01
  -9.8758852669e-01  -9.8806754248e-01   5.0298545198e+00   5.0611873503e-01   5.0611873503e-01
  -9.8663049512e-01  -9.8710951090e-01   5.4116065530e+00   5.5626799445e-01   5.5626799445e-01
  -9.8566270061e-01  -9.8615147933e-01   5.7939645389e+00   6.0851065867e-01   6.0851065867e-01
  -9.8468514318e-01  -9.8517392190e-01   6.1757091235e+00   6.6269463463e-01   6.6269463463e-01
  -9.8369114023e-01  -9.8419636446e-01   6.5583959768e+00   7.1899135767e-01   7.1899135767e-01
  -9.8268069177e-01  -9.8318591600e-01   6.9401414981e+00   7.7711036920e-01   7.7711036920e-01
  -9.8164373061e-01  -9.8217546754e-01   7.3233859890e+00   8.3731549395e-01   8.3731549395e-01
