# time = 1000
# FINE UNIFORM Grid points = 1181
# Pressure (Pa) = 101325
#         1_posUnif              2_Rkk           3_thetaZ           4_thetaY           5_thetaX            6_xmap1            7_xmap2
  -1.0000000000e+00   2.6322547091e-03  -2.0325134979e-03   2.0325093050e-03   7.8539609792e-01   9.4739134944e-01   0.0000000000e+00
  -9.9830508475e-01   1.2559566953e-01  -9.5668907443e-06   9.5669197425e-06   7.8539816342e-01   6.5328329924e-01   0.0000000000e+00
  -9.9661016949e-01   4.9401142564e-01  -5.4351093790e-05   5.4351258483e-05   7.8539816197e-01   6.5127503680e-01   4.8074067160e-16
  -9.9491525424e-01   1.0678489349e+00  -1.1528513169e-05   1.1528548113e-05   7.8539816341e-01   6.4410819935e-01   1.9229626864e-16
  -9.9322033898e-01   1.7763525021e+00   1.6261210950e-04  -1.6261260100e-04   7.8539815021e-01   6.3072212501e-01   0.0000000000e+00
  -9.9152542373e-01   2.5278879413e+00   4.0076217722e-04  -4.0076337118e-04   7.8539808310e-01   6.1063400243e-01   1.9229626864e-16
  -9.8983050847e-01   3.2346053789e+00   7.1324923369e-04  -7.1325127836e-04   7.8539790913e-01   5.8399975090e-01   0.0000000000e+00
  -9.8813559322e-01   3.8364814461e+00   1.1190134122e-03  -1.1190127461e-03   7.8539753735e-01   5.5182928629e-01  -1.9229626864e-16
  -9.8644067797e-01   4.3095413957e+00   1.4671734278e-03  -1.4671718688e-03   7.8539708719e-01   5.1611462682e-01   0.0000000000e+00
  -9.8474576271e-01   4.6551052071e+00   1.7725544247e-03  -1.7725516532e-03   7.8539659243e-01   4.7945779149e-01   0.0000000000e+00
  -9.8305084746e-01   4.8826916849e+00   2.3156545166e-03  -2.3156483147e-03   7.8539548236e-01   4.4411316057e-01  -1.9229626864e-16
  -9.8135593220e-01   5.0020698860e+00   3.1047644997e-03  -3.1047495326e-03   7.8539334368e-01   4.1124933385e-01   0.0000000000e+00
  -9.7966101695e-01   5.0317907512e+00   3.8537960080e-03  -3.8537673870e-03   7.8539073762e-01   3.8167471341e-01  -7.6918507455e-16
  -9.7796610169e-01   5.0002160895e+00   4.3400047860e-03  -4.3399639225e-03   7.8538874569e-01   3.5652126478e-01   0.0000000000e+00
  -9.7627118644e-01   4.9387294484e+00   4.4424542171e-03  -4.4424103833e-03   7.8538829585e-01   3.3707655764e-01   0.0000000000e+00
  -9.7457627119e-01   4.8741230240e+00   4.1861868228e-03  -4.1861501464e-03   7.8538940138e-01   3.2431380744e-01   3.8459253728e-16
  -9.7288135593e-01   4.8237077959e+00   3.6639572116e-03  -3.6639326235e-03   7.8539145111e-01   3.1847489892e-01   0.0000000000e+00
  -9.7118644068e-01   4.7933186885e+00   3.0906861977e-03  -3.0906714542e-03   7.8539338726e-01   3.1883122301e-01   0.0000000000e+00
  -9.6949152542e-01   4.7810811438e+00   2.8571144441e-03  -2.8571028019e-03   7.8539408195e-01   3.2404685894e-01   0.0000000000e+00
  -9.6779661017e-01   4.7827485495e+00   3.2997926523e-03  -3.2997746997e-03   7.8539271917e-01   3.3265955155e-01   0.0000000000e+00
  -9.6610169492e-01   4.7935549972e+00   4.3714207034e-03  -4.3713789441e-03   7.8538860881e-01   3.4328305117e-01   0.0000000000e+00
  -9.6440677966e-01   4.8089526913e+00   5.8039569376e-03  -5.8038591869e-03   7.8538132059e-01   3.5469199393e-01  -3.8459253728e-16
  -9.6271186441e-01   4.8244572756e+00   7.2634811385e-03  -7.2632895469e-03   7.8537178479e-01   3.6590976738e-01  -5.7688880592e-16
  -9.6101694915e-01   4.8364746098e+00   8.4676704471e-03  -8.4673668941e-03   7.8536231360e-01   3.7626098957e-01   0.0000000000e+00
  -9.5932203390e-01   4.8426956633e+00   9.2994423065e-03  -9.2990402346e-03   7.8535492489e-01   3.8526756919e-01  -1.9229626864e-16
  -9.5762711864e-01   4.8440788700e+00   9.8820865854e-03  -9.8816041091e-03   7.8534933720e-01   3.9276489173e-01   0.0000000000e+00
  -9.5593220339e-01   4.8420174784e+00   1.0438151014e-02  -1.0437582425e-02   7.8534368795e-01   3.9869879137e-01   0.0000000000e+00
  -9.5423728814e-01   4.8348848015e+00   1.1163526583e-02  -1.1162831034e-02   7.8533585387e-01   4.0295377360e-01   0.0000000000e+00
  -9.5254237288e-01   4.8205815848e+00   1.1961002960e-02  -1.1960147458e-02   7.8532663411e-01   4.0560874167e-01   0.0000000000e+00
  -9.5084745763e-01   4.7999024590e+00   1.2574696954e-02  -1.2573702910e-02   7.8531910612e-01   4.0701076127e-01   0.0000000000e+00
  -9.4915254237e-01   4.7770427275e+00   1.2705868285e-02  -1.2704842811e-02   7.8531744822e-01   4.0763241721e-01   0.0000000000e+00
  -9.4745762712e-01   4.7537965075e+00   1.2125359906e-02  -1.2124468657e-02   7.8532465484e-01   4.0774016439e-01   1.9229626864e-16
  -9.4576271186e-01   4.7308389273e+00   1.0843500624e-02  -1.0842863196e-02   7.8533937494e-01   4.0770018989e-01   0.0000000000e+00
  -9.4406779661e-01   4.7069069305e+00   9.1434393711e-03  -9.1430571951e-03   7.8535636332e-01   4.0773061169e-01   0.0000000000e+00
  -9.4237288136e-01   4.6784334845e+00   7.4011508560e-03  -7.4009481630e-03   7.8537077541e-01   4.0755947905e-01   0.0000000000e+00
  -9.4067796610e-01   4.6450093351e+00   5.9906880965e-03  -5.9905806046e-03   7.8538021949e-01   4.0700965065e-01   0.0000000000e+00
  -9.3898305085e-01   4.6099507667e+00   5.0668792639e-03  -5.0668142341e-03   7.8538532696e-01   4.0629328094e-01  -3.8459253728e-16
  -9.3728813559e-01   4.5746279121e+00   4.5519143686e-03  -4.5518672155e-03   7.8538780352e-01   4.0550378705e-01   1.9229626864e-16
  -9.3559322034e-01   4.5390298558e+00   4.5085183591e-03  -4.5084725472e-03   7.8538800011e-01   4.0470214306e-01   1.9229626864e-16
  -9.3389830508e-01   4.5027282126e+00   4.9612421304e-03  -4.9611810810e-03   7.8538585652e-01   4.0392774469e-01   1.9229626864e-16
  -9.3220338983e-01   4.4643757397e+00   5.6707795059e-03  -5.6706883345e-03   7.8538208469e-01   4.0304675894e-01   0.0000000000e+00
  -9.3050847458e-01   4.4250166429e+00   6.5075695787e-03  -6.5074317981e-03   7.8537698956e-01   4.0215390777e-01   0.0000000000e+00
  -9.2881355932e-01   4.3875333856e+00   7.5784680299e-03  -7.5782504196e-03   7.8536944736e-01   4.0141678319e-01   3.8459253728e-16
  -9.2711864407e-01   4.3538063607e+00   8.9286111650e-03  -8.9282552965e-03   7.8535830441e-01   4.0097627245e-01   0.0000000000e+00
  -9.2542372881e-01   4.3263897133e+00   1.0361637513e-02  -1.0361081333e-02   7.8534448361e-01   4.0102992272e-01   3.8459253728e-16
  -9.2372881356e-01   4.3054309921e+00   1.1739874533e-02  -1.1739065605e-02   7.8532925422e-01   4.0151604540e-01   0.0000000000e+00
  -9.2203389831e-01   4.2895556125e+00   1.2956609558e-02  -1.2955522172e-02   7.8531423126e-01   4.0223556335e-01   1.9229626864e-16
  -9.2033898305e-01   4.2755439094e+00   1.4096050500e-02  -1.4094650292e-02   7.8529882073e-01   4.0289943883e-01   1.9229626864e-16
  -9.1864406780e-01   4.2598538639e+00   1.5208097647e-02  -1.5206339260e-02   7.8528252927e-01   4.0317643958e-01  -3.8459253728e-16
  -9.1694915254e-01   4.2402719077e+00   1.6176204420e-02  -1.6174088448e-02   7.8526734008e-01   4.0283827388e-01   1.9229626864e-16
  -9.1525423729e-01   4.2171882023e+00   1.6916603834e-02  -1.6914183857e-02   7.8525509132e-01   4.0202190543e-01   1.9229626864e-16
  -9.1355932203e-01   4.1923032742e+00   1.7299016774e-02  -1.7296428967e-02   7.8524855039e-01   4.0099390087e-01   1.9229626864e-16
  -9.1186440678e-01   4.1668618384e+00   1.7055042596e-02  -1.7052562726e-02   7.8525274028e-01   3.9991751738e-01   0.0000000000e+00
  -9.1016949153e-01   4.1422602332e+00   1.6106981644e-02  -1.6104892720e-02   7.8526845723e-01   3.9886154380e-01   0.0000000000e+00
  -9.0847457627e-01   4.1193872179e+00   1.4669885638e-02  -1.4668307390e-02   7.8529056833e-01   3.9770830773e-01   0.0000000000e+00
  -9.0677966102e-01   4.0981126781e+00   1.3027107100e-02  -1.3026001873e-02   7.8531331545e-01   3.9636150206e-01   0.0000000000e+00
  -9.0508474576e-01   4.0773970197e+00   1.1320779455e-02  -1.1320054098e-02   7.8533408619e-01   3.9484767247e-01   0.0000000000e+00
  -9.0338983051e-01   4.0566337083e+00   9.7690790353e-03  -9.7686129222e-03   7.8535044753e-01   3.9323112323e-01   0.0000000000e+00
  -9.0169491525e-01   4.0352429921e+00   8.5536037953e-03  -8.5532909100e-03   7.8536158225e-01   3.9137823138e-01   1.9229626864e-16
  -9.0000000000e-01   4.0139137322e+00   7.7120674941e-03  -7.7118381704e-03   7.8536842602e-01   3.8932559194e-01   1.9229626864e-16
  -8.9830508475e-01   3.9932334290e+00   7.2541359647e-03  -7.2539451170e-03   7.8537185272e-01   3.8733827741e-01  -1.9229626864e-16
  -8.9661016949e-01   3.9724751664e+00   7.1037437149e-03  -7.1035644908e-03   7.8537293227e-01   3.8538222418e-01  -1.9229626864e-16
  -8.9491525424e-01   3.9518989984e+00   7.0523006048e-03  -7.0521252400e-03   7.8537329640e-01   3.8354562421e-01   0.0000000000e+00
  -8.9322033898e-01   3.9319645521e+00   7.1015630611e-03  -7.1013840036e-03   7.8537294775e-01   3.8199565583e-01   0.0000000000e+00
  -8.9152542373e-01   3.9109498645e+00   7.3904317299e-03  -7.3902299175e-03   7.8537085463e-01   3.8062724640e-01   1.9229626864e-16
  -8.8983050847e-01   3.8862309146e+00   7.9195529414e-03  -7.9193046004e-03   7.8536680446e-01   3.7921849151e-01  -5.7688880592e-16
  -8.8813559322e-01   3.8581942724e+00   8.5872199471e-03  -8.5869033606e-03   7.8536129422e-01   3.7773654220e-01   1.9229626864e-16
  -8.8644067797e-01   3.8297910635e+00   9.3656559615e-03  -9.3652452366e-03   7.8535430701e-01   3.7642215601e-01   0.0000000000e+00
  -8.8474576271e-01   3.8024635864e+00   1.0287249388e-02  -1.0286705103e-02   7.8534525157e-01   3.7536172412e-01   0.0000000000e+00
  -8.8305084746e-01   3.7758970260e+00   1.1407509900e-02  -1.1406767748e-02   7.8533310068e-01   3.7440483465e-01  -3.8459253728e-16
  -8.8135593220e-01   3.7505508273e+00   1.2889829309e-02  -1.2888758648e-02   7.8531509423e-01   3.7352939927e-01   0.0000000000e+00
  -8.7966101695e-01   3.7263916632e+00   1.4833825708e-02  -1.4832193961e-02   7.8528815026e-01   3.7259761581e-01   1.9229626864e-16
  -8.7796610169e-01   3.7035570866e+00   1.7070583647e-02  -1.7068096996e-02   7.8525247519e-01   3.7163191251e-01  -3.8459253728e-16
  -8.7627118644e-01   3.6829912433e+00   1.9290818889e-02  -1.9287230529e-02   7.8521211860e-01   3.7085915176e-01  -1.9229626864e-16
  -8.7457627119e-01   3.6645832793e+00   2.1139545204e-02  -2.1134823415e-02   7.8517475651e-01   3.7044248877e-01   0.0000000000e+00
  -8.7288135593e-01   3.6472878087e+00   2.2487302078e-02  -2.2481618624e-02   7.8514536670e-01   3.7041541716e-01   3.8459253728e-16
  -8.7118644068e-01   3.6306667262e+00   2.3283742735e-02  -2.3277433934e-02   7.8512714609e-01   3.7070922014e-01   1.9229626864e-16
  -8.6949152542e-01   3.6149671012e+00   2.3242564792e-02  -2.3236289395e-02   7.8512810370e-01   3.7119191129e-01   1.9229626864e-16
  -8.6779661017e-01   3.6002352808e+00   2.2026761168e-02  -2.2021419719e-02   7.8515561356e-01   3.7171219703e-01   1.9229626864e-16
  -8.6610169492e-01   3.5858760625e+00   1.9695726138e-02  -1.9691907094e-02   7.8520422766e-01   3.7220482676e-01   0.0000000000e+00
  -8.6440677966e-01   3.5706063475e+00   1.6662987127e-02  -1.6660674356e-02   7.8525934872e-01   3.7249932862e-01   1.9229626864e-16
  -8.6271186441e-01   3.5534763158e+00   1.3455086294e-02  -1.3453868525e-02   7.8530764921e-01   3.7255122218e-01  -3.8459253728e-16
  -8.6101694915e-01   3.5351867182e+00   1.0511401033e-02  -1.0510820388e-02   7.8534292072e-01   3.7256335907e-01   0.0000000000e+00
  -8.5932203390e-01   3.5160640200e+00   8.0881117722e-03  -8.0878472383e-03   7.8536545539e-01   3.7261036030e-01   1.9229626864e-16
  -8.5762711864e-01   3.4960286942e+00   6.1672260991e-03  -6.1671088225e-03   7.8537914641e-01   3.7258254838e-01  -1.9229626864e-16
  -8.5593220339e-01   3.4741219392e+00   4.7768222870e-03  -4.7767677898e-03   7.8538675452e-01   3.7213601462e-01  -3.8459253728e-16
  -8.5423728814e-01   3.4508564434e+00   4.0172197232e-03  -4.0171873149e-03   7.8539009450e-01   3.7132475452e-01  -3.8459253728e-16
  -8.5254237288e-01   3.4276537798e+00   3.8796516994e-03  -3.8796225095e-03   7.8539063757e-01   3.7046529989e-01   0.0000000000e+00
  -8.5084745763e-01   3.4065444948e+00   4.3283425309e-03  -4.3283019919e-03   7.8538879620e-01   3.6993065181e-01   0.0000000000e+00
  -8.4915254237e-01   3.3894275597e+00   5.2818533641e-03  -5.2817796874e-03   7.8538421456e-01   3.6993059894e-01   0.0000000000e+00
  -8.4745762712e-01   3.3764708883e+00   6.4615287361e-03  -6.4613938553e-03   7.8537728803e-01   3.7027724204e-01  -1.9229626864e-16
  -8.4576271186e-01   3.3660477951e+00   7.6624292843e-03  -7.6622043579e-03   7.8536880760e-01   3.7065153123e-01  -3.8459253728e-16
  -8.4406779661e-01   3.3565549561e+00   8.6893473123e-03  -8.6890192944e-03   7.8536041199e-01   3.7076289211e-01   0.0000000000e+00
  -8.4237288136e-01   3.3466423782e+00   9.3265625770e-03  -9.3261569759e-03   7.8535467237e-01   3.7045861263e-01   0.0000000000e+00
  -8.4067796610e-01   3.3353725624e+00   9.5895020060e-03  -9.5890611262e-03   7.8535218560e-01   3.6971628692e-01   0.0000000000e+00
  -8.3898305085e-01   3.3228103174e+00   9.7027980645e-03  -9.7023413717e-03   7.8535109275e-01   3.6870169754e-01   0.0000000000e+00
  -8.3728813559e-01   3.3096593004e+00   9.8349774908e-03  -9.8345018773e-03   7.8534980154e-01   3.6770103641e-01  -3.8459253728e-16
  -8.3559322034e-01   3.2951770773e+00   1.0005782915e-02  -1.0005282093e-02   7.8534810730e-01   3.6676791197e-01   1.9229626864e-16
  -8.3389830508e-01   3.2784678754e+00   1.0196823286e-02  -1.0196293229e-02   7.8534617768e-01   3.6580424577e-01   0.0000000000e+00
  -8.3220338983e-01   3.2591318368e+00   1.0514972329e-02  -1.0514391097e-02   7.8534288321e-01   3.6470724849e-01   0.0000000000e+00
  -8.3050847458e-01   3.2380199606e+00   1.0920675580e-02  -1.0920024443e-02   7.8533853523e-01   3.6357654255e-01   0.0000000000e+00
  -8.2881355932e-01   3.2157561375e+00   1.1241554040e-02  -1.1240843806e-02   7.8533497977e-01   3.6243588570e-01  -3.8459253728e-16
  -8.2711864407e-01   3.1940256362e+00   1.1219777190e-02  -1.1219071074e-02   7.8533522442e-01   3.6142068985e-01  -3.8459253728e-16
  -8.2542372881e-01   3.1746171161e+00   1.0782155864e-02  -1.0781529187e-02   7.8534003827e-01   3.6070047609e-01   1.9229626864e-16
  -8.2372881356e-01   3.1571474689e+00   1.0048822578e-02  -1.0048315265e-02   7.8534767565e-01   3.6026316452e-01   0.0000000000e+00
  -8.2203389831e-01   3.1411856044e+00   9.1505742861e-03  -9.1501912165e-03   7.8535629811e-01   3.6010174351e-01   3.8459253728e-16
  -8.2033898305e-01   3.1273737621e+00   8.0402723192e-03  -8.0400124507e-03   7.8536584116e-01   3.6031823666e-01   0.0000000000e+00
