# time = 1000.0
# FINE UNIFORM Grid points = 1181
# Pressure (Pa) = 101325
#         1_posUnif        2_uvel_mean        3_uvel_rmsf
 -1.0000000000E+00   0.0000000000E+00   0.0000000000E+00
 -9.9830508475E-01   1.0094314704E+00   3.6390865560E-01
 -9.9661016949E-01   2.0029974220E+00   7.1266715223E-01
 -9.9491525424E-01   2.9806717621E+00   1.0443160939E+00
 -9.9322033898E-01   3.9322036566E+00   1.3434380132E+00
 -9.9152542373E-01   4.8447318949E+00   1.5989780811E+00
 -9.8983050847E-01   5.7094424067E+00   1.8048271179E+00
 -9.8813559322E-01   6.5186053614E+00   1.9610999476E+00
 -9.8644067797E-01   7.2672451844E+00   2.0709909563E+00
 -9.8474576271E-01   7.9535817419E+00   2.1411346283E+00
 -9.8305084746E-01   8.5768812563E+00   2.1792851117E+00
 -9.8135593220E-01   9.1358127522E+00   2.1929962575E+00
 -9.7966101695E-01   9.6362257019E+00   2.1919764758E+00
 -9.7796610169E-01   1.0078777795E+01   2.1820780535E+00
 -9.7627118644E-01   1.0466415462E+01   2.1682748273E+00
 -9.7457627119E-01   1.0805704200E+01   2.1569428222E+00
 -9.7288135593E-01   1.1103047771E+01   2.1501783003E+00
 -9.7118644068E-01   1.1364296396E+01   2.1489566337E+00
 -9.6949152542E-01   1.1595241542E+01   2.1525273235E+00
 -9.6779661017E-01   1.1801097703E+01   2.1597009344E+00
 -9.6610169492E-01   1.1986438217E+01   2.1691598255E+00
 -9.6440677966E-01   1.2155207718E+01   2.1797177505E+00
 -9.6271186441E-01   1.2310595434E+01   2.1906144148E+00
 -9.6101694915E-01   1.2455196366E+01   2.2013583805E+00
 -9.5932203390E-01   1.2591085475E+01   2.2116739541E+00
 -9.5762711864E-01   1.2719872592E+01   2.2212605637E+00
 -9.5593220339E-01   1.2842753170E+01   2.2299711275E+00
 -9.5423728814E-01   1.2960687393E+01   2.2377095293E+00
 -9.5254237288E-01   1.3074330852E+01   2.2443670623E+00
 -9.5084745763E-01   1.3184106649E+01   2.2499378502E+00
 -9.4915254237E-01   1.3290323895E+01   2.2544891097E+00
 -9.4745762712E-01   1.3393194709E+01   2.2582448768E+00
 -9.4576271186E-01   1.3492892773E+01   2.2612392458E+00
 -9.4406779661E-01   1.3589550520E+01   2.2635395574E+00
 -9.4237288136E-01   1.3683298843E+01   2.2650846965E+00
 -9.4067796610E-01   1.3774258877E+01   2.2659463363E+00
 -9.3898305085E-01   1.3862520566E+01   2.2662825022E+00
 -9.3728813559E-01   1.3948241785E+01   2.2662260602E+00
 -9.3559322034E-01   1.4031465337E+01   2.2659412382E+00
 -9.3389830508E-01   1.4112287613E+01   2.2655420225E+00
 -9.3220338983E-01   1.4190811437E+01   2.2651880158E+00
 -9.3050847458E-01   1.4267085341E+01   2.2648384620E+00
 -9.2881355932E-01   1.4341187135E+01   2.2644267084E+00
 -9.2711864407E-01   1.4413214118E+01   2.2639751600E+00
 -9.2542372881E-01   1.4483233283E+01   2.2634956190E+00
 -9.2372881356E-01   1.4551361473E+01   2.2629180299E+00
 -9.2203389831E-01   1.4617712110E+01   2.2622515461E+00
 -9.2033898305E-01   1.4682411347E+01   2.2614154879E+00
 -9.1864406780E-01   1.4745566328E+01   2.2604176448E+00
 -9.1694915254E-01   1.4807260928E+01   2.2593358598E+00
 -9.1525423729E-01   1.4867554388E+01   2.2580941258E+00
 -9.1355932203E-01   1.4926473445E+01   2.2567322880E+00
 -9.1186440678E-01   1.4984105656E+01   2.2552096143E+00
 -9.1016949153E-01   1.5040441736E+01   2.2536455276E+00
 -9.0847457627E-01   1.5095538219E+01   2.2520180782E+00
 -9.0677966102E-01   1.5149448305E+01   2.2503953598E+00
 -9.0508474576E-01   1.5202200232E+01   2.2488421658E+00
 -9.0338983051E-01   1.5253834746E+01   2.2474468334E+00
 -9.0169491525E-01   1.5304430620E+01   2.2461460853E+00
 -9.0000000000E-01   1.5353997451E+01   2.2449552705E+00
 -8.9830508475E-01   1.5402569768E+01   2.2438707545E+00
 -8.9661016949E-01   1.5450154525E+01   2.2427919165E+00
 -8.9491525424E-01   1.5496818477E+01   2.2417862926E+00
 -8.9322033898E-01   1.5542617825E+01   2.2409036105E+00
 -8.9152542373E-01   1.5587604056E+01   2.2400349748E+00
 -8.8983050847E-01   1.5631807201E+01   2.2391836867E+00
 -8.8813559322E-01   1.5675241060E+01   2.2384003197E+00
 -8.8644067797E-01   1.5717909754E+01   2.2376845118E+00
 -8.8474576271E-01   1.5759857224E+01   2.2370150485E+00
 -8.8305084746E-01   1.5801161880E+01   2.2362461697E+00
 -8.8135593220E-01   1.5841795599E+01   2.2354516565E+00
 -8.7966101695E-01   1.5881784259E+01   2.2346169058E+00
 -8.7796610169E-01   1.5921099270E+01   2.2338276349E+00
 -8.7627118644E-01   1.5959828802E+01   2.2330956874E+00
 -8.7457627119E-01   1.5997941101E+01   2.2324088875E+00
 -8.7288135593E-01   1.6035535089E+01   2.2316746483E+00
 -8.7118644068E-01   1.6072624748E+01   2.2309149237E+00
 -8.6949152542E-01   1.6109212939E+01   2.2302008665E+00
 -8.6779661017E-01   1.6145323181E+01   2.2295846202E+00
 -8.6610169492E-01   1.6180964309E+01   2.2290888855E+00
 -8.6440677966E-01   1.6216130004E+01   2.2286833679E+00
 -8.6271186441E-01   1.6250809085E+01   2.2284181576E+00
 -8.6101694915E-01   1.6285039103E+01   2.2282115579E+00
 -8.5932203390E-01   1.6318868724E+01   2.2280215473E+00
 -8.5762711864E-01   1.6352305910E+01   2.2277910316E+00
 -8.5593220339E-01   1.6385378161E+01   2.2275074396E+00
 -8.5423728814E-01   1.6418069246E+01   2.2271756976E+00
 -8.5254237288E-01   1.6450436981E+01   2.2268091314E+00
 -8.5084745763E-01   1.6482452728E+01   2.2263456304E+00
 -8.4915254237E-01   1.6514167209E+01   2.2257238167E+00
 -8.4745762712E-01   1.6545593559E+01   2.2250000069E+00
 -8.4576271186E-01   1.6576690562E+01   2.2242655210E+00
 -8.4406779661E-01   1.6607485849E+01   2.2235482891E+00
 -8.4237288136E-01   1.6637963579E+01   2.2228405740E+00
 -8.4067796610E-01   1.6668121972E+01   2.2221605432E+00
 -8.3898305085E-01   1.6697943749E+01   2.2214997696E+00
 -8.3728813559E-01   1.6727419225E+01   2.2209534745E+00
 -8.3559322034E-01   1.6756581219E+01   2.2204612982E+00
 -8.3389830508E-01   1.6785445086E+01   2.2199997362E+00
 -8.3220338983E-01   1.6814035134E+01   2.2195168565E+00
 -8.3050847458E-01   1.6842404089E+01   2.2189734603E+00
 -8.2881355932E-01   1.6870534752E+01   2.2183482448E+00
 -8.2711864407E-01   1.6898435324E+01   2.2176584249E+00
 -8.2542372881E-01   1.6926087234E+01   2.2169595180E+00
 -8.2372881356E-01   1.6953455300E+01   2.2162516541E+00
 -8.2203389831E-01   1.6980559232E+01   2.2155086175E+00
 -8.2033898305E-01   1.7007386038E+01   2.2147623283E+00
 -8.1864406780E-01   1.7033916465E+01   2.2140263077E+00
 -8.1694915254E-01   1.7060131219E+01   2.2133171449E+00
 -8.1525423729E-01   1.7086063027E+01   2.2126125169E+00
 -8.1355932203E-01   1.7111750481E+01   2.2119054181E+00
 -8.1186440678E-01   1.7137161266E+01   2.2112464872E+00
 -8.1016949153E-01   1.7162285811E+01   2.2106355964E+00
 -8.0847457627E-01   1.7187143014E+01   2.2100537980E+00
 -8.0677966102E-01   1.7211746746E+01   2.2094770460E+00
 -8.0508474576E-01   1.7236104094E+01   2.2088875937E+00
 -8.0338983051E-01   1.7260210313E+01   2.2082887736E+00
 -8.0169491525E-01   1.7284048110E+01   2.2077005590E+00
 -8.0000000000E-01   1.7307614908E+01   2.2070947986E+00
 -7.9830508475E-01   1.7330892973E+01   2.2065141406E+00
 -7.9661016949E-01   1.7353915188E+01   2.2059333979E+00
 -7.9491525424E-01   1.7376655683E+01   2.2053423148E+00
 -7.9322033898E-01   1.7399169503E+01   2.2047056908E+00
 -7.9152542373E-01   1.7421437034E+01   2.2040354705E+00
 -7.8983050847E-01   1.7443490685E+01   2.2033331798E+00
 -7.8813559322E-01   1.7465322454E+01   2.2026446358E+00
 -7.8644067797E-01   1.7486954203E+01   2.2020174739E+00
 -7.8474576271E-01   1.7508378398E+01   2.2014225663E+00
 -7.8305084746E-01   1.7529625458E+01   2.2008588068E+00
 -7.8135593220E-01   1.7550677335E+01   2.2003268872E+00
 -7.7966101695E-01   1.7571543148E+01   2.1998622673E+00
 -7.7796610169E-01   1.7592214608E+01   2.1994670208E+00
 -7.7627118644E-01   1.7612699791E+01   2.1991366874E+00
 -7.7457627119E-01   1.7633002008E+01   2.1988840828E+00
 -7.7288135593E-01   1.7653149092E+01   2.1986423990E+00
 -7.7118644068E-01   1.7673140634E+01   2.1984077680E+00
 -7.6949152542E-01   1.7693003412E+01   2.1981599066E+00
 -7.6779661017E-01   1.7712769214E+01   2.1978423565E+00
 -7.6610169492E-01   1.7732413735E+01   2.1974496217E+00
 -7.6440677966E-01   1.7751926370E+01   2.1970131569E+00
 -7.6271186441E-01   1.7771332937E+01   2.1965290579E+00
 -7.6101694915E-01   1.7790607296E+01   2.1960501741E+00
 -7.5932203390E-01   1.7809762751E+01   2.1955686970E+00
 -7.5762711864E-01   1.7828817267E+01   2.1950929065E+00
 -7.5593220339E-01   1.7847739888E+01   2.1946122960E+00
 -7.5423728814E-01   1.7866563061E+01   2.1941015027E+00
 -7.5254237288E-01   1.7885255480E+01   2.1935489349E+00
 -7.5084745763E-01   1.7903843195E+01   2.1929585071E+00
 -7.4915254237E-01   1.7922290692E+01   2.1923597028E+00
 -7.4745762712E-01   1.7940628175E+01   2.1917578102E+00
 -7.4576271186E-01   1.7958855018E+01   2.1911442954E+00
 -7.4406779661E-01   1.7976971133E+01   2.1905685343E+00
 -7.4237288136E-01   1.7994990088E+01   2.1900133079E+00
 -7.4067796610E-01   1.8012916057E+01   2.1894590867E+00
 -7.3898305085E-01   1.8030771694E+01   2.1888953980E+00
