# time = 1000.0
# FINE UNIFORM Grid points = 1181
# Pressure (Pa) = 101325
#         1_posUnif        2_uvel_mean        3_uvel_rmsf   4_uvel_rhsfRatio        5_vvel_mean        6_vvel_rmsf   7_vvel_rhsfRatio        8_wvel_mean        9_wvel_rmsf  10_wvel_rhsfRatio             11_Rxx             12_Ryy             13_Rzz             14_Rxy             15_Rxz             16_Ryz
 -9.7457627119E-01   1.0805704200E+01   2.1569428222E+00   0.0000000000E+00  -1.1238160846E-03   8.9024565891E-01   0.0000000000E+00  -1.1238160846E-03   8.9024565891E-01   0.0000000000E+00   4.6526046378E+00   7.9255613158E-01   7.9255613158E-01  -2.7897125245E-03  -2.7897125245E-03   7.9255613158E-01
 -9.7288135593E-01   1.1103047771E+01   2.1501783003E+00   0.0000000000E+00  -1.0915528384E-03   8.8713703055E-01   0.0000000000E+00  -1.0915528384E-03   8.8713703055E-01   0.0000000000E+00   4.6234841074E+00   7.8703221143E-01   7.8703221143E-01  -2.9384401425E-03  -2.9384401425E-03   7.8703221143E-01
 -9.7118644068E-01   1.1364296396E+01   2.1489566337E+00   0.0000000000E+00  -1.0148125444E-03   8.8227268604E-01   0.0000000000E+00  -1.0148125444E-03   8.8227268604E-01   0.0000000000E+00   4.6182447298E+00   7.7842778038E-01   7.7842778038E-01  -2.7191276608E-03  -2.7191276608E-03   7.7842778038E-01
 -9.6949152542E-01   1.1595241542E+01   2.1525273235E+00   0.0000000000E+00  -9.1115651224E-04   8.7637872297E-01   0.0000000000E+00  -9.1115651224E-04   8.7637872297E-01   0.0000000000E+00   4.6336141294E+00   7.6806589588E-01   7.6806589588E-01  -2.1804463355E-03  -2.1804463355E-03   7.6806589588E-01
 -9.6779661017E-01   1.1801097703E+01   2.1597009344E+00   0.0000000000E+00  -7.6797215818E-04   8.6997377543E-01   0.0000000000E+00  -7.6797215818E-04   8.6997377543E-01   0.0000000000E+00   4.6645574237E+00   7.5688411825E-01   7.5688411825E-01  -1.3597059446E-03  -1.3597059446E-03   7.5688411825E-01
 -9.6610169492E-01   1.1986438217E+01   2.1691598255E+00   0.0000000000E+00  -6.0672379636E-04   8.6343882969E-01   0.0000000000E+00  -6.0672379636E-04   8.6343882969E-01   0.0000000000E+00   4.7055140051E+00   7.4555931782E-01   7.4555931782E-01  -4.2686879009E-04  -4.2686879009E-04   7.4555931782E-01
 -9.6440677966E-01   1.2155207718E+01   2.1797177505E+00   0.0000000000E+00  -4.3361579913E-04   8.5704492416E-01   0.0000000000E+00  -4.3361579913E-04   8.5704492416E-01   0.0000000000E+00   4.7514423428E+00   7.3456040584E-01   7.3456040584E-01   2.0936820229E-04   2.0936820229E-04   7.3456040584E-01
 -9.6271186441E-01   1.2310595434E+01   2.1906144148E+00   0.0000000000E+00  -2.5720760717E-04   8.5100654588E-01   0.0000000000E+00  -2.5720760717E-04   8.5100654588E-01   0.0000000000E+00   4.7990758385E+00   7.2424661917E-01   7.2424661917E-01   5.0032430980E-04   5.0032430980E-04   7.2424661917E-01
 -9.6101694915E-01   1.2455196366E+01   2.2013583805E+00   0.0000000000E+00  -6.3568167659E-05   8.4539831751E-01   0.0000000000E+00  -6.3568167659E-05   8.4539831751E-01   0.0000000000E+00   4.8462772967E+00   7.1473193126E-01   7.1473193126E-01   4.9346489566E-04   4.9346489566E-04   7.1473193126E-01
 -9.5932203390E-01   1.2591085475E+01   2.2116739541E+00   0.0000000000E+00   1.1870552720E-04   8.4026174417E-01   0.0000000000E+00   1.1870552720E-04   8.4026174417E-01   0.0000000000E+00   4.8918165841E+00   7.0607156275E-01   7.0607156275E-01   3.6961583851E-04   3.6961583851E-04   7.0607156275E-01
