# time = 1000.0
# FINE UNIFORM Grid points = 791
# Pressure (Pa) = 101325
#         1_posUnif        2_uvel_mean        3_uvel_rmsf   4_uvel_rhsfRatio        5_vvel_mean        6_vvel_rmsf   7_vvel_rhsfRatio        8_wvel_mean        9_wvel_rmsf  10_wvel_rhsfRatio             11_Rxx             12_Ryy             13_Rzz             14_Rxy             15_Rxz             16_Ryz
 -1.0000000000E+00  -3.1375808469E-21   1.4540864486E-17   0.0000000000E+00  -7.1266364400E-23   1.3879279275E-18   0.0000000000E+00  -7.1266364400E-23   1.3879279275E-18   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00
 -9.9746835443E-01   1.0062375099E+00   3.4523465066E-01   0.0000000000E+00   5.8541227750E-05   1.0429329298E-01   0.0000000000E+00   5.8541227750E-05   1.0429329298E-01   0.0000000000E+00   1.1919282507E-01   1.0877816167E-02   1.0877816167E-02   3.2753337038E-05   3.2753337038E-05   1.0877816167E-02
 -9.9493670886E-01   1.9984418152E+00   6.7985412635E-01   0.0000000000E+00   1.1583301652E-04   2.0704841158E-01   0.0000000000E+00   1.1583301652E-04   2.0704841158E-01   0.0000000000E+00   4.6223486149E-01   4.2871937216E-02   4.2871937216E-02   9.8570429004E-05   9.8570429004E-05   4.2871937216E-02
 -9.9240506329E-01   2.9738677036E+00   9.9773341642E-01   0.0000000000E+00   1.6393745548E-04   3.0751147092E-01   0.0000000000E+00   1.6393745548E-04   3.0751147092E-01   0.0000000000E+00   9.9555284609E-01   9.4570164778E-02   9.4570164778E-02   1.3993296487E-04   1.3993296487E-04   9.4570164778E-02
 -9.8987341772E-01   3.9223617996E+00   1.2844349449E+00   0.0000000000E+00   1.9335911192E-04   4.0404410176E-01   0.0000000000E+00   1.9335911192E-04   4.0404410176E-01   0.0000000000E+00   1.6499137005E+00   1.6326435080E-01   1.6326435080E-01   5.3218621386E-05   5.3218621386E-05   1.6326435080E-01
 -9.8734177215E-01   4.8329605884E+00   1.5288298793E+00   0.0000000000E+00   1.9777067301E-04   4.9494774426E-01   0.0000000000E+00   1.9777067301E-04   4.9494774426E-01   0.0000000000E+00   2.3375216828E+00   2.4499332817E-01   2.4499332817E-01  -2.8969178635E-04  -2.8969178635E-04   2.4499332817E-01
 -9.8481012658E-01   5.6954630474E+00   1.7251886313E+00   0.0000000000E+00   1.7999752800E-04   5.7832046666E-01   0.0000000000E+00   1.7999752800E-04   5.7832046666E-01   0.0000000000E+00   2.9765424617E+00   3.3448330484E-01   3.3448330484E-01  -8.4524336963E-04  -8.4524336963E-04   3.3448330484E-01
 -9.8227848101E-01   6.5023397213E+00   1.8727006302E+00   0.0000000000E+00   1.3539566078E-04   6.5226940731E-01   0.0000000000E+00   1.3539566078E-04   6.5226940731E-01   0.0000000000E+00   3.5073268050E+00   4.2549252149E-01   4.2549252149E-01  -1.7295393355E-03  -1.7295393355E-03   4.2549252149E-01
 -9.7974683544E-01   7.2485445348E+00   1.9752425471E+00   0.0000000000E+00   8.7345116412E-05   7.1527175195E-01   0.0000000000E+00   8.7345116412E-05   7.1527175195E-01   0.0000000000E+00   3.9019077871E+00   5.1165533611E-01   5.1165533611E-01  -2.7358062806E-03  -2.7358062806E-03   5.1165533611E-01
 -9.7721518987E-01   7.9313178083E+00   2.0393713070E+00   0.0000000000E+00   3.8582455668E-05   7.6633364139E-01   0.0000000000E+00   3.8582455668E-05   7.6633364139E-01   0.0000000000E+00   4.1593193436E+00   5.8730922499E-01   5.8730922499E-01  -3.8612246196E-03  -3.8612246196E-03   5.8730922499E-01
 -9.7468354430E-01   8.5495569131E+00   2.0720090371E+00   0.0000000000E+00  -8.9148293895E-06   8.0498914317E-01   0.0000000000E+00  -8.9148293895E-06   8.0498914317E-01   0.0000000000E+00   4.2934462389E+00   6.4804594282E-01   6.4804594282E-01  -5.0630963506E-03  -5.0630963506E-03   6.4804594282E-01
 -9.7215189873E-01   9.1044419851E+00   2.0819553155E+00   0.0000000000E+00  -7.9908976609E-05   8.3232077281E-01   0.0000000000E+00  -7.9908976609E-05   8.3232077281E-01   0.0000000000E+00   4.3347269538E+00   6.9279272709E-01   6.9279272709E-01  -6.3281548906E-03  -6.3281548906E-03   6.9279272709E-01
 -9.6962025316E-01   9.5982172153E+00   2.0772954449E+00   0.0000000000E+00  -1.3719736679E-04   8.4982686844E-01   0.0000000000E+00  -1.3719736679E-04   8.4982686844E-01   0.0000000000E+00   4.3153318513E+00   7.2223762174E-01   7.2223762174E-01  -7.3458233788E-03  -7.3458233788E-03   7.2223762174E-01
 -9.6708860759E-01   1.0034720348E+01   2.0656389549E+00   0.0000000000E+00  -1.8118198031E-04   8.5943747569E-01   0.0000000000E+00  -1.8118198031E-04   8.5943747569E-01   0.0000000000E+00   4.2670436143E+00   7.3866267326E-01   7.3866267326E-01  -8.0101178637E-03  -8.0101178637E-03   7.3866267326E-01
 -9.6455696203E-01   1.0418823574E+01   2.0532580691E+00   0.0000000000E+00  -2.1021523283E-04   8.6320538528E-01   0.0000000000E+00  -2.1021523283E-04   8.6320538528E-01   0.0000000000E+00   4.2160608895E+00   7.4515211090E-01   7.4515211090E-01  -8.3016539928E-03  -8.3016539928E-03   7.4515211090E-01
 -9.6202531646E-01   1.0755993918E+01   2.0444643857E+00   0.0000000000E+00  -1.7742308961E-04   8.6287574183E-01   0.0000000000E+00  -1.7742308961E-04   8.6287574183E-01   0.0000000000E+00   4.1800438571E+00   7.4458193040E-01   7.4458193040E-01  -8.0018159568E-03  -8.0018159568E-03   7.4458193040E-01
 -9.5949367089E-01   1.1051876008E+01   2.0413184465E+00   0.0000000000E+00  -1.0504588861E-04   8.5977700891E-01   0.0000000000E+00  -1.0504588861E-04   8.5977700891E-01   0.0000000000E+00   4.1672077626E+00   7.3924293969E-01   7.3924293969E-01  -7.3918400665E-03  -7.3918400665E-03   7.3924293969E-01
 -9.5696202532E-01   1.1312279398E+01   2.0441503283E+00   0.0000000000E+00  -1.4487389690E-05   8.5492832191E-01   0.0000000000E+00  -1.4487389690E-05   8.5492832191E-01   0.0000000000E+00   4.1787946175E+00   7.3092853391E-01   7.3092853391E-01  -6.5804076751E-03  -6.5804076751E-03   7.3092853391E-01
 -9.5443037975E-01   1.1542765509E+01   2.0521173705E+00   0.0000000000E+00   1.1817575713E-04   8.4907637375E-01   0.0000000000E+00   1.1817575713E-04   8.4907637375E-01   0.0000000000E+00   4.2114483726E+00   7.2095690439E-01   7.2095690439E-01  -5.6503183214E-03  -5.6503183214E-03   7.2095690439E-01
 -9.5189873418E-01   1.1748385076E+01   2.0636466903E+00   0.0000000000E+00   2.9091698243E-04   8.4272872840E-01   0.0000000000E+00   2.9091698243E-04   8.4272872840E-01   0.0000000000E+00   4.2589151884E+00   7.1021852466E-01   7.1021852466E-01  -4.8682094629E-03  -4.8682094629E-03   7.1021852466E-01
 -9.4936708861E-01   1.1933715073E+01   2.0773935463E+00   0.0000000000E+00   4.5389202565E-04   8.3624289871E-01   0.0000000000E+00   4.5389202565E-04   8.3624289871E-01   0.0000000000E+00   4.3158447441E+00   6.9932937337E-01   6.9932937337E-01  -4.3694279553E-03  -4.3694279553E-03   6.9932937337E-01
 -9.4683544304E-01   1.2102481349E+01   2.0920549066E+00   0.0000000000E+00   6.3045244125E-04   8.2985325892E-01   0.0000000000E+00   6.3045244125E-04   8.2985325892E-01   0.0000000000E+00   4.3769685361E+00   6.8868412945E-01   6.8868412945E-01  -4.0883598188E-03  -4.0883598188E-03   6.8868412945E-01
 -9.4430379747E-01   1.2257965784E+01   2.1067717828E+00   0.0000000000E+00   8.0527737459E-04   8.2379983490E-01   0.0000000000E+00   8.0527737459E-04   8.2379983490E-01   0.0000000000E+00   4.4387531134E+00   6.7867481503E-01   6.7867481503E-01  -3.9707751188E-03  -3.9707751188E-03   6.7867481503E-01
 -9.4177215190E-01   1.2402742127E+01   2.1208193285E+00   0.0000000000E+00   9.9769768602E-04   8.1818851695E-01   0.0000000000E+00   9.9769768602E-04   8.1818851695E-01   0.0000000000E+00   4.4981299222E+00   6.6946232556E-01   6.6946232556E-01  -4.0358582288E-03  -4.0358582288E-03   6.6946232556E-01
 -9.3924050633E-01   1.2538854364E+01   2.1337643495E+00   0.0000000000E+00   1.2368722543E-03   8.1312072083E-01   0.0000000000E+00   1.2368722543E-03   8.1312072083E-01   0.0000000000E+00   4.5531977419E+00   6.6119663915E-01   6.6119663915E-01  -4.0049687023E-03  -4.0049687023E-03   6.6119663915E-01
 -9.3670886076E-01   1.2667821997E+01   2.1452078548E+00   0.0000000000E+00   1.4997158903E-03   8.0855501194E-01   0.0000000000E+00   1.4997158903E-03   8.0855501194E-01   0.0000000000E+00   4.6021558450E+00   6.5379365572E-01   6.5379365572E-01  -3.9918643254E-03  -3.9918643254E-03   6.5379365572E-01
 -9.3417721519E-01   1.2790850591E+01   2.1550637841E+00   0.0000000000E+00   1.7900413521E-03   8.0444089227E-01   0.0000000000E+00   1.7900413521E-03   8.0444089227E-01   0.0000000000E+00   4.6445259748E+00   6.4715818407E-01   6.4715818407E-01  -3.9513616868E-03  -3.9513616868E-03   6.4715818407E-01
 -9.3164556962E-01   1.2908812884E+01   2.1635095016E+00   0.0000000000E+00   2.0871947179E-03   8.0073667982E-01   0.0000000000E+00   2.0871947179E-03   8.0073667982E-01   0.0000000000E+00   4.6809840146E+00   6.4121233221E-01   6.4121233221E-01  -3.8775814851E-03  -3.8775814851E-03   6.4121233221E-01
 -9.2911392405E-01   1.3022214591E+01   2.1707482976E+00   0.0000000000E+00   2.3661614167E-03   7.9734204321E-01   0.0000000000E+00   2.3661614167E-03   7.9734204321E-01   0.0000000000E+00   4.7123453445E+00   6.3578716874E-01   6.3578716874E-01  -3.7568760394E-03  -3.7568760394E-03   6.3578716874E-01
 -9.2658227848E-01   1.3131522645E+01   2.1770438547E+00   0.0000000000E+00   2.6261405101E-03   7.9420259556E-01   0.0000000000E+00   2.6261405101E-03   7.9420259556E-01   0.0000000000E+00   4.7397092791E+00   6.3078983834E-01   6.3078983834E-01  -3.5910144446E-03  -3.5910144446E-03   6.3078983834E-01
 -9.2405063291E-01   1.3237137276E+01   2.1824012889E+00   0.0000000000E+00   2.7981559275E-03   7.9124229605E-01   0.0000000000E+00   2.7981559275E-03   7.9124229605E-01   0.0000000000E+00   4.7630582318E+00   6.2609550046E-01   6.2609550046E-01  -3.3330743160E-03  -3.3330743160E-03   6.2609550046E-01
