# time = 100
# Grid points = 536
# Pressure (Pa) = 101325
#             1_pos             2_posf             3_uvel             4_vvel             5_wvel
  -8.1004207974e-01  -8.1206591055e-01   1.2033878366e+01   1.4043670336e-02   1.4043670336e-02
  -8.0599441812e-01  -8.0801824893e-01   1.2094619426e+01   5.0629084268e-02   5.0629084268e-02
  -8.0194675651e-01  -8.0397058731e-01   1.2199309156e+01   7.1773984702e-02   7.1773984702e-02
  -7.9833538098e-01  -7.9992292570e-01   1.2330784791e+01   7.6652032416e-02   7.6652032416e-02
  -7.9516029154e-01  -7.9674783626e-01   1.2470578792e+01   7.1618055713e-02   7.1618055713e-02
  -7.9198520210e-01  -7.9357274682e-01   1.2629394918e+01   5.8172078848e-02   5.8172078848e-02
  -7.8881011266e-01  -7.9039765738e-01   1.2806756560e+01   3.6505769350e-02   3.6505769350e-02
  -7.8491970156e-01  -7.8722256794e-01   1.3057145536e+01  -1.2203185308e-03  -1.2203185308e-03
  -7.8031396879e-01  -7.8261683517e-01   1.3393118950e+01  -6.1449448418e-02  -6.1449448418e-02
  -7.7590763129e-01  -7.7801110241e-01   1.3731173276e+01  -1.2936283648e-01  -1.2936283648e-01
  -7.7170068906e-01  -7.7380416017e-01   1.4061249068e+01  -2.0150567976e-01  -2.0150567976e-01
  -7.6738614901e-01  -7.6959721794e-01   1.4396092068e+01  -2.8028425069e-01  -2.8028425069e-01
  -7.6296401114e-01  -7.6517508007e-01   1.4720661293e+01  -3.6254156385e-01  -3.6254156385e-01
  -7.5813479609e-01  -7.6075294221e-01   1.5055091818e+01  -4.5425393697e-01  -4.5425393697e-01
  -7.5289850386e-01  -7.5551664997e-01   1.5384349997e+01  -5.5360921465e-01  -5.5360921465e-01
  -7.4836202727e-01  -7.5028035774e-01   1.5641331432e+01  -6.3874926923e-01  -6.3874926923e-01
  -7.4452536632e-01  -7.4644369680e-01   1.5830967541e+01  -7.0593786852e-01  -7.0593786852e-01
  -7.4068870538e-01  -7.4260703585e-01   1.5986013399e+01  -7.6452537579e-01  -7.6452537579e-01
  -7.3685204443e-01  -7.3877037490e-01   1.6122635950e+01  -8.1909417424e-01  -8.1909417424e-01
  -7.3235712810e-01  -7.3493371396e-01   1.6262650348e+01  -8.7668941059e-01  -8.7668941059e-01
  -7.2720395637e-01  -7.2978054223e-01   1.6385649015e+01  -9.2540424876e-01  -9.2540424876e-01
  -7.2205078465e-01  -7.2462737051e-01   1.6476226129e+01  -9.5362415022e-01  -9.5362415022e-01
  -7.1689761293e-01  -7.1947419879e-01   1.6544960537e+01  -9.6177051938e-01  -9.6177051938e-01
  -7.1174444120e-01  -7.1432102706e-01   1.6592444077e+01  -9.4684333990e-01  -9.4684333990e-01
  -7.0659126948e-01  -7.0916785534e-01   1.6620898246e+01  -9.0729198318e-01  -9.0729198318e-01
  -7.0143809776e-01  -7.0401468362e-01   1.6630352545e+01  -8.4215483897e-01  -8.4215483897e-01
  -6.9628492603e-01  -6.9886151189e-01   1.6618508294e+01  -7.5482233036e-01  -7.5482233036e-01
  -6.9217321368e-01  -6.9370834017e-01   1.6589730056e+01  -6.6980629799e-01  -6.6980629799e-01
  -6.8910296069e-01  -6.9063808718e-01   1.6557206487e+01  -5.9912113609e-01  -5.9912113609e-01
  -6.8603270769e-01  -6.8756783419e-01   1.6511903616e+01  -5.2136566780e-01  -5.2136566780e-01
  -6.8296245470e-01  -6.8449758120e-01   1.6452379872e+01  -4.3722641728e-01  -4.3722641728e-01
  -6.7989220171e-01  -6.8142732821e-01   1.6377627801e+01  -3.4787880357e-01  -3.4787880357e-01
  -6.7682194872e-01  -6.7835707522e-01   1.6286833057e+01  -2.5440107504e-01  -2.5440107504e-01
  -6.7375169573e-01  -6.7528682223e-01   1.6179870274e+01  -1.5779266351e-01  -1.5779266351e-01
  -6.7068144274e-01  -6.7221656923e-01   1.6057659595e+01  -5.9261487140e-02  -5.9261487140e-02
  -6.6765611758e-01  -6.6914631624e-01   1.5920597080e+01   4.0727761215e-02   4.0727761215e-02
  -6.6467572025e-01  -6.6616591891e-01   1.5767884078e+01   1.4318920053e-01   1.4318920053e-01
  -6.6169532292e-01  -6.6318552158e-01   1.5602167210e+01   2.4657521746e-01   2.4657521746e-01
  -6.5871492559e-01  -6.6020512425e-01   1.5429470161e+01   3.4709641849e-01   3.4709641849e-01
  -6.5477703874e-01  -6.5722472692e-01   1.5187131540e+01   4.7958277066e-01   4.7958277066e-01
  -6.4988166239e-01  -6.5232935057e-01   1.4850864668e+01   6.5034204447e-01   6.5034204447e-01
  -6.4511553492e-01  -6.4743397422e-01   1.4514914325e+01   8.1239874237e-01   8.1239874237e-01
  -6.4047865633e-01  -6.4279709563e-01   1.4184937617e+01   9.6652889289e-01   9.6652889289e-01
  -6.3564605250e-01  -6.3816021704e-01   1.3847163097e+01   1.1218759465e+00   1.1218759465e+00
  -6.3061772343e-01  -6.3313188797e-01   1.3524472897e+01   1.2704587201e+00   1.2704587201e+00
  -6.2644777701e-01  -6.2810355890e-01   1.3276982372e+01   1.3867539788e+00   1.3867539788e+00
  -6.2313621323e-01  -6.2479199512e-01   1.3093670602e+01   1.4752008061e+00   1.4752008061e+00
  -6.1982464945e-01  -6.2148043134e-01   1.2929840365e+01   1.5571433443e+00   1.5571433443e+00
  -6.1651308567e-01  -6.1816886756e-01   1.2787333331e+01   1.6319914363e+00   1.6319914363e+00
  -6.1279521653e-01  -6.1485730378e-01   1.2650215173e+01   1.7089016302e+00   1.7089016302e+00
  -6.0867104204e-01  -6.1073312929e-01   1.2531649326e+01   1.7835822207e+00   1.7835822207e+00
  -6.0454686755e-01  -6.0660895480e-01   1.2447708778e+01   1.8472167166e+00   1.8472167166e+00
  -6.0042269306e-01  -6.0248478031e-01   1.2398091425e+01   1.8999373633e+00   1.8999373633e+00
  -5.9629851857e-01  -5.9836060582e-01   1.2382087075e+01   1.9420374221e+00   1.9420374221e+00
  -5.9217434409e-01  -5.9423643133e-01   1.2399100562e+01   1.9736966986e+00   1.9736966986e+00
  -5.8805016960e-01  -5.9011225684e-01   1.2448680427e+01   1.9949803713e+00   1.9949803713e+00
  -5.8392599511e-01  -5.8598808235e-01   1.2530310423e+01   2.0059410159e+00   2.0059410159e+00
  -5.7995424773e-01  -5.8186390786e-01   1.2639400069e+01   2.0066066175e+00   2.0066066175e+00
  -5.7613492747e-01  -5.7804458760e-01   1.2772827876e+01   1.9982761162e+00   1.9982761162e+00
  -5.7231560720e-01  -5.7422526733e-01   1.2937320773e+01   1.9806455015e+00   1.9806455015e+00
  -5.6849628694e-01  -5.7040594707e-01   1.3132451813e+01   1.9535684851e+00   1.9535684851e+00
  -5.6408254422e-01  -5.6658662681e-01   1.3392695727e+01   1.9114624417e+00   1.9114624417e+00
  -5.5907437905e-01  -5.6157846164e-01   1.3714345809e+01   1.8524320510e+00   1.8524320510e+00
  -5.5446052253e-01  -5.5657029646e-01   1.4043627928e+01   1.7860974242e+00   1.7860974242e+00
  -5.5024097467e-01  -5.5235074860e-01   1.4374794028e+01   1.7149832931e+00   1.7149832931e+00
  -5.4615415878e-01  -5.4813120074e-01   1.4710051579e+01   1.6386753302e+00   1.6386753302e+00
  -5.4220007486e-01  -5.4417711682e-01   1.5040914712e+01   1.5589683944e+00   1.5589683944e+00
  -5.3816689036e-01  -5.4022303290e-01   1.5376495224e+01   1.4729076545e+00   1.4729076545e+00
  -5.3405460528e-01  -5.3611074782e-01   1.5707033026e+01   1.3814356275e+00   1.3814356275e+00
  -5.2957788846e-01  -5.3199846274e-01   1.6047280489e+01   1.2784360846e+00   1.2784360846e+00
  -5.2473673991e-01  -5.2715731418e-01   1.6369882591e+01   1.1675234131e+00   1.1675234131e+00
  -5.2050470294e-01  -5.2231616563e-01   1.6615863947e+01   1.0682755177e+00   1.0682755177e+00
  -5.1688177757e-01  -5.1869324026e-01   1.6808055521e+01   9.7795576200e-01   9.7795576200e-01
  -5.1325885220e-01  -5.1507031489e-01   1.6977472211e+01   8.8249285879e-01   8.8249285879e-01
  -5.0963592683e-01  -5.1144738952e-01   1.7114693237e+01   7.8607355470e-01   7.8607355470e-01
  -5.0549677985e-01  -5.0782446415e-01   1.7231033660e+01   6.7835810986e-01   6.7835810986e-01
  -5.0084141124e-01  -5.0316909555e-01   1.7315562016e+01   5.5560432281e-01   5.5560432281e-01
  -4.9618604264e-01  -4.9851372694e-01   1.7357448904e+01   4.3130400679e-01   4.3130400679e-01
  -4.9153067404e-01  -4.9385835834e-01   1.7360168153e+01   3.0684505782e-01   3.0684505782e-01
  -4.8687530543e-01  -4.8920298974e-01   1.7329220188e+01   1.8366203553e-01   1.8366203553e-01
  -4.8221993683e-01  -4.8454762113e-01   1.7270811191e+01   6.3243496768e-02   6.3243496768e-02
  -4.7756456823e-01  -4.7989225253e-01   1.7190874325e+01  -5.3355157889e-02  -5.3355157889e-02
  -4.7290919962e-01  -4.7523688392e-01   1.7094560525e+01  -1.6578726571e-01  -1.6578726571e-01
  -4.6876376855e-01  -4.7058151532e-01   1.7000329826e+01  -2.6009173932e-01  -2.6009173932e-01
  -4.6512827502e-01  -4.6694602179e-01   1.6916709070e+01  -3.3635904429e-01  -3.3635904429e-01
