# time = 100
# Grid points = 266
# Pressure (Pa) = 101325
#             1_pos             2_posf             3_uvel             4_vvel             5_wvel
  -9.9815579578e-01  -1.0000000000e+00   7.7050808624e-01   2.7882290670e-02   2.7882290670e-02
  -9.9537072947e-01  -9.9631159155e-01   1.8961300479e+00   7.3598929930e-02   7.3598929930e-02
  -9.9347137980e-01  -9.9442986740e-01   2.6500217757e+00   1.0788647294e-01   1.0788647294e-01
  -9.9153423492e-01  -9.9251289221e-01   3.4038319407e+00   1.4716053301e-01   1.4716053301e-01
  -9.8955378870e-01  -9.9055557764e-01   4.1576598162e+00   1.9266787803e-01   1.9266787803e-01
  -9.8752359713e-01  -9.8855199976e-01   4.9115847722e+00   2.4550380337e-01   2.4550380337e-01
  -9.8543598021e-01  -9.8649519450e-01   5.6656953462e+00   3.0651060187e-01   3.0651060187e-01
  -9.8328147568e-01  -9.8437676591e-01   6.4201071639e+00   3.7616081776e-01   3.7616081776e-01
  -9.8104785083e-01  -9.8218618544e-01   7.1749959100e+00   4.5441415543e-01   4.5441415543e-01
  -9.7871825051e-01  -9.7990951621e-01   7.9306665790e+00   5.4053827151e-01   5.4053827151e-01
  -9.7626748249e-01  -9.7752698481e-01   8.6877284833e+00   6.3287454927e-01   6.3287454927e-01
  -9.7365371277e-01  -9.7500798016e-01   9.4476145163e+00   7.2850570600e-01   7.2850570600e-01
  -9.7079689561e-01  -9.7229944537e-01   1.0214542772e+01   8.2269507079e-01   8.2269507079e-01
  -9.6750694124e-01  -9.6929434584e-01   1.1005151675e+01   9.0734851936e-01   9.0734851936e-01
  -9.6314491156e-01  -9.6571953664e-01   1.1884151383e+01   9.6162950484e-01   9.6162950484e-01
  -9.5518001152e-01  -9.6057028648e-01   1.2635115257e+01   9.1361485733e-01   9.1361485733e-01
  -9.4632026795e-01  -9.4978973656e-01   1.2847526712e+01   6.2200411255e-01   6.2200411255e-01
  -9.3938133071e-01  -9.4285079933e-01   1.2719364380e+01   2.7304142498e-01   2.7304142498e-01
  -9.3244239348e-01  -9.3591186210e-01   1.2587840440e+01  -6.9917559130e-02  -6.9917559130e-02
  -9.2550345625e-01  -9.2897292486e-01   1.2704309350e+01  -3.9247735870e-01  -3.9247735870e-01
  -9.1727063912e-01  -9.2203398763e-01   1.3017877123e+01  -4.7981456481e-01  -4.7981456481e-01
  -9.0972315661e-01  -9.1250729061e-01   1.3989935775e+01  -4.7527417350e-01  -4.7527417350e-01
  -9.0425375033e-01  -9.0693902261e-01   1.4847465582e+01  -3.9233786258e-01  -3.9233786258e-01
  -8.9776041784e-01  -9.0156847804e-01   1.5765475636e+01  -2.4611787029e-01  -2.4611787029e-01
  -8.8856973425e-01  -8.9395235763e-01   1.6274092215e+01  -9.2914766101e-02  -9.2914766101e-02
  -8.7780448747e-01  -8.8318711086e-01   1.6562714483e+01   1.7990010764e-01   1.7990010764e-01
  -8.6913074798e-01  -8.7242186409e-01   1.6450343857e+01   4.2743627025e-01   4.2743627025e-01
  -8.6254851578e-01  -8.6583963188e-01   1.6200399857e+01   6.5721689307e-01   6.5721689307e-01
  -8.5596628358e-01  -8.5925739968e-01   1.6012553413e+01   8.0994288239e-01   8.0994288239e-01
  -8.4938405137e-01  -8.5267516748e-01   1.5845886357e+01   9.5305558997e-01   9.5305558997e-01
  -8.4039343614e-01  -8.4609293527e-01   1.5848219199e+01   1.0624106914e+00   1.0624106914e+00
  -8.2899443787e-01  -8.3469393700e-01   1.6185497907e+01   1.0660333818e+00   1.0660333818e+00
  -8.2010401877e-01  -8.2329493874e-01   1.6708224620e+01   9.5204699916e-01   9.5204699916e-01
  -8.1372217882e-01  -8.1691309879e-01   1.6954148895e+01   8.8846921157e-01   8.8846921157e-01
  -8.0724361754e-01  -8.1053125885e-01   1.7374479703e+01   7.4070256289e-01   7.4070256289e-01
  -8.0066833493e-01  -8.0395597623e-01   1.7801781906e+01   5.7822871062e-01   5.7822871062e-01
  -7.9265059064e-01  -7.9738069362e-01   1.8181135416e+01   4.2383416078e-01   4.2383416078e-01
  -7.8319038468e-01  -7.8792048766e-01   1.8516045776e+01   2.9122071368e-01   2.9122071368e-01
  -7.7298400135e-01  -7.7846028170e-01   1.8862424069e+01   1.6873419806e-01   1.6873419806e-01
  -7.6203144065e-01  -7.6750772100e-01   1.9218182644e+01   6.2956280431e-02   6.2956280431e-02
  -7.5350578326e-01  -7.5655516030e-01   1.9445853448e+01   3.8805335555e-03   3.8805335555e-03
  -7.4740702918e-01  -7.5045640622e-01   1.9671404308e+01  -4.7861620079e-02  -4.7861620079e-02
  -7.4130827510e-01  -7.4435765214e-01   1.9851574598e+01  -8.4821840330e-02  -8.4821840330e-02
  -7.3520952102e-01  -7.3825889806e-01   2.0005032750e+01  -1.1159138345e-01  -1.1159138345e-01
  -7.2712904876e-01  -7.3216014398e-01   2.0247778225e+01  -1.4457370789e-01  -1.4457370789e-01
  -7.1706685832e-01  -7.2209795354e-01   2.0437040967e+01  -1.5721984201e-01  -1.5721984201e-01
  -7.0700466788e-01  -7.1203576310e-01   2.0571544038e+01  -1.4655108366e-01  -1.4655108366e-01
  -6.9694247744e-01  -7.0197357266e-01   2.0633027906e+01  -1.1019231875e-01  -1.1019231875e-01
  -6.8877886057e-01  -6.9191138222e-01   2.0639363730e+01  -7.3356630715e-02  -7.3356630715e-02
  -6.8251381728e-01  -6.8564633893e-01   2.0580621070e+01   4.5163345041e-04   4.5163345041e-04
  -6.7624877399e-01  -6.7938129563e-01   2.0566871926e+01   1.6376538319e-02   1.6376538319e-02
  -6.6998373069e-01  -6.7311625234e-01   2.0441723779e+01   1.2207964263e-01   1.2207964263e-01
  -6.6371868740e-01  -6.6685120905e-01   2.0419662769e+01   1.3956918772e-01   1.3956918772e-01
  -6.5745364411e-01  -6.6058616575e-01   2.0290130200e+01   2.3990526330e-01   2.3990526330e-01
  -6.5118860082e-01  -6.5432112246e-01   2.0258293753e+01   2.6580506998e-01   2.6580506998e-01
  -6.4492355752e-01  -6.4805607917e-01   2.0157046369e+01   3.4869292270e-01   3.4869292270e-01
  -6.3867192717e-01  -6.4179103588e-01   2.0129995622e+01   3.7559413157e-01   3.7559413157e-01
  -6.3243370977e-01  -6.3555281847e-01   2.0069927428e+01   4.4122289092e-01   4.4122289092e-01
  -6.2619549236e-01  -6.2931460107e-01   2.0048696028e+01   4.8277188067e-01   4.8277188067e-01
  -6.1995727496e-01  -6.2307638366e-01   2.0054546073e+01   5.1322384046e-01   5.1322384046e-01
  -6.1371905756e-01  -6.1683816626e-01   2.0087366860e+01   5.3279281087e-01   5.3279281087e-01
  -6.0748084015e-01  -6.1059994885e-01   2.0147104500e+01   5.4151221399e-01   5.4151221399e-01
  -6.0124262275e-01  -6.0436173145e-01   2.0234297032e+01   5.3918063280e-01   5.3918063280e-01
  -5.9500440534e-01  -5.9812351404e-01   2.0339494008e+01   5.2677998075e-01   5.2677998075e-01
  -5.8796957697e-01  -5.9188529664e-01   2.0475383954e+01   5.0215718260e-01   5.0215718260e-01
  -5.8013813764e-01  -5.8405385730e-01   2.0638185321e+01   4.6508931770e-01   4.6508931770e-01
  -5.7230669830e-01  -5.7622241797e-01   2.0819284882e+01   4.1733959040e-01   4.1733959040e-01
  -5.6447525897e-01  -5.6839097863e-01   2.0985666572e+01   3.6836373073e-01   3.6836373073e-01
  -5.5519573357e-01  -5.6055953930e-01   2.1170125013e+01   3.0807814929e-01   3.0807814929e-01
  -5.4446812211e-01  -5.4983192784e-01   2.1334143008e+01   2.4970007356e-01   2.4970007356e-01
  -5.3374051064e-01  -5.3910431638e-01   2.1468930161e+01   1.9957731934e-01   1.9957731934e-01
  -5.2301289918e-01  -5.2837670491e-01   2.1589293357e+01   1.5405465344e-01   1.5405465344e-01
  -5.1369476549e-01  -5.1764909345e-01   2.1661935557e+01   1.2561473229e-01   1.2561473229e-01
  -5.0578610955e-01  -5.0974043752e-01   2.1714075056e+01   1.0240047536e-01   1.0240047536e-01
  -4.9787745362e-01  -5.0183178159e-01   2.1751748782e+01   7.9644244536e-02   7.9644244536e-02
  -4.8996879769e-01  -4.9392312566e-01   2.1778819457e+01   5.3219794592e-02   5.3219794592e-02
  -4.8206014176e-01  -4.8601446972e-01   2.1796468874e+01   1.9947952125e-02   1.9947952125e-02
  -4.7415148582e-01  -4.7810581379e-01   2.1806269920e+01  -2.2807538770e-02  -2.2807538770e-02
  -4.6624282989e-01  -4.7019715786e-01   2.1809737543e+01  -7.4206321952e-02  -7.4206321952e-02
  -4.5833417396e-01  -4.6228850193e-01   2.1808996376e+01  -1.3346489421e-01  -1.3346489421e-01
  -4.5022449153e-01  -4.5437984599e-01   2.1806099856e+01  -2.0092246251e-01  -2.0092246251e-01
