# time = 200
# FINE UNIFORM Grid points = 361
# Pressure (Pa) = 101325
#         1_posUnif              2_Rkk           3_thetaZ           4_thetaY           5_thetaX            6_xmap1            7_xmap2
  -8.7222222222e-01   5.3867549562e+00  -8.0997973160e-03   8.0995316341e-03   7.8536536074e-01   5.0284274771e-01   0.0000000000e+00
  -8.6666666667e-01   5.4596395543e+00  -9.0505669494e-03   9.0501963021e-03   7.8535720824e-01   5.1154432356e-01   0.0000000000e+00
  -8.6111111111e-01   5.5007731489e+00  -8.7968161661e-03   8.7964758291e-03   7.8535947242e-01   5.1816597325e-01   0.0000000000e+00
  -8.5555555556e-01   5.5052478640e+00  -7.4261512789e-03   7.4259465246e-03   7.8537059007e-01   5.2345515990e-01   0.0000000000e+00
  -8.5000000000e-01   5.4702133132e+00  -5.2086228786e-03   5.2085522349e-03   7.8538459868e-01   5.2742663770e-01   0.0000000000e+00
  -8.4444444444e-01   5.4069390104e+00  -1.5497355025e-03   1.5497336471e-03   7.8539696259e-01   5.3036199994e-01  -5.7688880592e-16
  -8.3888888889e-01   5.3252465582e+00   2.6613300188e-03  -2.6613205944e-03   7.8539462205e-01   5.3266531420e-01   0.0000000000e+00
  -8.3333333333e-01   5.2341932277e+00   5.9956734788e-03  -5.9955657212e-03   7.8538018963e-01   5.3523089524e-01  -3.8459253728e-16
  -8.2777777778e-01   5.1441290034e+00   7.8439104517e-03  -7.8436691601e-03   7.8536740063e-01   5.3894784612e-01  -5.7688880592e-16
  -8.2222222222e-01   5.0591830621e+00   8.3946885085e-03  -8.3943927445e-03   7.8536292888e-01   5.4424852783e-01   0.0000000000e+00
  -8.1666666667e-01   4.9799536958e+00   8.3353623936e-03  -8.3350728520e-03   7.8536342504e-01   5.5081820376e-01   1.9229626864e-16
  -8.1111111111e-01   4.8967374596e+00   7.5793939234e-03  -7.5791762330e-03   7.8536944035e-01   5.5757027398e-01   0.0000000000e+00
  -8.0555555556e-01   4.8064972019e+00   5.5230481729e-03  -5.5229639361e-03   7.8538291163e-01   5.6428781177e-01  -3.8459253728e-16
  -8.0000000000e-01   4.7219496401e+00   2.1216349131e-03  -2.1216301468e-03   7.8539591280e-01   5.7115894801e-01  -3.8459253728e-16
  -7.9444444444e-01   4.6605404488e+00  -2.2610107429e-03   2.2610049666e-03   7.8539560731e-01   5.7834372342e-01   0.0000000000e+00
  -7.8888888889e-01   4.6254049155e+00  -7.1617324558e-03   7.1615488028e-03   7.8537251869e-01   5.8553284071e-01  -3.8459253728e-16
  -7.8333333333e-01   4.6132764987e+00  -1.1964706982e-02   1.1963850684e-02   7.8532658975e-01   5.9196595777e-01   0.0000000000e+00
  -7.7777777778e-01   4.6181893978e+00  -1.5989504998e-02   1.5987461443e-02   7.8527034224e-01   5.9687061150e-01   0.0000000000e+00
  -7.7222222222e-01   4.6267171014e+00  -1.9029455450e-02   1.9026010951e-02   7.8521712517e-01   5.9948942186e-01  -3.8459253728e-16
  -7.6666666667e-01   4.6346158369e+00  -2.0491435431e-02   2.0487134673e-02   7.8518824340e-01   5.9952299436e-01   0.0000000000e+00
  -7.6111111111e-01   4.6502747064e+00  -1.9913810277e-02   1.9909862988e-02   7.8519990975e-01   5.9815363879e-01   0.0000000000e+00
  -7.5555555556e-01   4.6821052529e+00  -1.7536633939e-02   1.7533938042e-02   7.8524441239e-01   5.9673835046e-01   1.9229626864e-16
  -7.5000000000e-01   4.7300221526e+00  -1.3854166976e-02   1.3852837613e-02   7.8530220060e-01   5.9555383198e-01   0.0000000000e+00
  -7.4444444444e-01   4.7793565583e+00  -9.4661336245e-03   9.4657095416e-03   7.8535336098e-01   5.9417310678e-01  -3.8459253728e-16
  -7.3888888889e-01   4.8179715142e+00  -4.7069487886e-03   4.7068966472e-03   7.8538708590e-01   5.9290188491e-01   0.0000000000e+00
  -7.3333333333e-01   4.8454744879e+00   2.1384019650e-04  -2.1384084152e-04   7.8539814056e-01   5.9219093563e-01   0.0000000000e+00
  -7.2777777778e-01   4.8624153250e+00   4.4945420850e-03  -4.4944966910e-03   7.8538806298e-01   5.9148931094e-01   1.9229626864e-16
  -7.2222222222e-01   4.8734833839e+00   7.1510938679e-03  -7.1509110316e-03   7.8537259476e-01   5.9090213080e-01   4.8074067160e-16
  -7.1666666667e-01   4.8840252105e+00   7.9269992409e-03  -7.9267502006e-03   7.8536674537e-01   5.9081414140e-01   0.0000000000e+00
  -7.1111111111e-01   4.8999710204e+00   7.4190943598e-03  -7.4188901857e-03   7.8537064241e-01   5.9155327418e-01   1.9229626864e-16
  -7.0555555556e-01   4.9184248046e+00   6.3351767020e-03  -6.3350495773e-03   7.8537809645e-01   5.9277209800e-01  -3.8459253728e-16
  -7.0000000000e-01   4.9448603078e+00   5.5588745035e-03  -5.5587886187e-03   7.8538271312e-01   5.9505715622e-01   0.0000000000e+00
